Milliseconds,X,Y,Z,cos,headingAccuracy
33801,-0.177728,-0.500678,-0.379508,0.757434,246.0
33901,-0.177701,-0.500644,-0.379543,0.757445,246.0
34001,-0.177484,-0.500823,-0.379562,0.757369,246.0
34102,-0.177463,-0.500972,-0.379585,0.757263,246.0
34201,-0.177457,-0.50102,-0.379479,0.757286,246.0
34301,-0.177255,-0.501198,-0.379295,0.757308,246.0
34401,-0.177272,-0.501192,-0.379316,0.757297,246.0
34501,-0.177368,-0.50123,-0.379287,0.757264,246.0
34602,-0.177327,-0.501103,-0.379345,0.757328,246.0
34703,-0.177257,-0.501132,-0.379385,0.757306,246.0
34801,-0.177266,-0.501204,-0.379419,0.757239,246.0
34901,-0.177297,-0.501192,-0.379427,0.757236,246.0
35001,-0.17712,-0.501215,-0.379496,0.757227,246.0
35101,-0.177263,-0.501218,-0.379207,0.757336,246.0
35202,-0.177352,-0.501037,-0.379241,0.757418,246.0
35301,-0.177383,-0.500882,-0.379438,0.757415,246.0
35401,-0.17736,-0.500972,-0.379772,0.757193,246.0
35501,-0.177185,-0.501194,-0.379543,0.757202,246.0
35602,-0.17718,-0.501325,-0.379388,0.757194,246.0
35702,-0.177444,-0.501409,-0.378979,0.757282,246.0
35802,-0.177262,-0.501654,-0.378845,0.757229,246.0
35901,-0.177477,-0.501565,-0.37883,0.757245,246.0
36001,-0.177612,-0.501667,-0.378746,0.757188,246.0
36102,-0.17763,-0.501722,-0.378668,0.757187,246.0
36203,-0.177533,-0.501723,-0.378701,0.757192,246.0
36301,-0.177783,-0.501836,-0.378566,0.757126,246.0
36401,-0.177692,-0.501897,-0.378571,0.757105,246.0
36501,-0.177733,-0.501953,-0.378422,0.757132,246.0
36602,-0.177824,-0.502013,-0.378398,0.757083,246.0
36701,-0.177807,-0.501896,-0.378426,0.757151,246.0
36801,-0.178083,-0.501895,-0.378516,0.757041,246.0
36902,-0.177949,-0.501923,-0.378509,0.757058,246.0
37002,-0.177754,-0.501885,-0.378592,0.757088,246.0
37101,-0.178025,-0.501792,-0.378577,0.757093,246.0
37201,-0.178198,-0.501637,-0.378604,0.757141,246.0
37302,-0.178284,-0.501598,-0.378586,0.757156,246.0
37401,-0.178156,-0.501713,-0.378667,0.75707,246.0
37501,-0.17819,-0.501652,-0.378596,0.757137,246.0
37601,-0.178076,-0.501711,-0.378633,0.757106,246.0
37702,-0.17792,-0.501667,-0.37871,0.757134,246.0
37804,-0.17799,-0.501887,-0.378515,0.757069,246.0
37902,-0.177888,-0.50192,-0.378736,0.756961,246.0
38001,-0.177827,-0.501775,-0.378805,0.757037,246.0
38101,-0.177935,-0.50181,-0.378586,0.757098,246.0
38202,-0.177944,-0.501837,-0.378565,0.757088,246.0
38301,-0.177815,-0.501698,-0.378798,0.757094,246.0
38401,-0.177712,-0.501743,-0.378858,0.757058,246.0
38502,-0.177799,-0.501538,-0.37877,0.757218,246.0
38601,-0.177923,-0.501557,-0.378725,0.757198,246.0
38701,-0.177848,-0.501529,-0.378803,0.757196,246.0
38802,-0.177874,-0.501637,-0.37879,0.757125,246.0
38901,-0.177881,-0.501656,-0.378842,0.757084,246.0
39001,-0.177913,-0.5015,-0.378796,0.757203,246.0
39102,-0.177965,-0.501498,-0.378863,0.757159,246.0
39202,-0.177749,-0.501422,-0.378911,0.757236,246.0
39301,-0.177815,-0.501428,-0.3789,0.757222,246.0
39401,-0.177916,-0.501401,-0.378871,0.757231,246.0
39501,-0.178072,-0.50149,-0.37888,0.75713,246.0
39602,-0.177979,-0.501401,-0.37884,0.757232,246.0
39701,-0.17794,-0.501406,-0.378799,0.757258,246.0
39801,-0.178102,-0.501363,-0.378758,0.757268,246.0
39901,-0.17798,-0.501388,-0.378894,0.757212,246.0
40001,-0.178156,-0.501314,-0.378906,0.757214,246.0
40101,-0.177985,-0.501416,-0.378883,0.757198,246.0
40202,-0.178274,-0.501481,-0.378857,0.7571,246.0
40301,-0.178414,-0.501256,-0.378709,0.75729,246.0
40401,-0.178586,-0.501195,-0.378871,0.757209,246.0
40501,-0.178772,-0.501108,-0.378954,0.757181,246.0
40601,-0.178751,-0.501168,-0.378973,0.757137,246.0
40702,-0.178772,-0.500979,-0.378944,0.757271,246.0
40801,-0.178455,-0.501162,-0.378933,0.757231,246.0
40901,-0.178279,-0.501362,-0.378984,0.757114,246.0
41002,-0.178266,-0.501259,-0.379046,0.757155,246.0
41101,-0.178358,-0.501311,-0.379032,0.757105,246.0
41201,-0.178191,-0.501267,-0.378993,0.757193,246.0
41301,-0.178161,-0.501344,-0.378907,0.757192,246.0
41402,-0.178181,-0.501248,-0.379002,0.757204,246.0
41501,-0.178359,-0.501214,-0.378857,0.757257,246.0
41601,-0.178432,-0.501254,-0.378795,0.757244,246.0
41701,-0.178194,-0.501151,-0.379009,0.757262,246.0
41801,-0.178116,-0.50113,-0.379049,0.757273,246.0
41902,-0.178105,-0.501084,-0.379117,0.757273,246.0
42001,-0.178259,-0.501066,-0.379157,0.757228,246.0
42101,-0.17816,-0.501024,-0.379124,0.757296,246.0
42201,-0.178193,-0.501177,-0.37906,0.757219,246.0
42302,-0.178072,-0.501036,-0.379205,0.757268,246.0
42401,-0.178007,-0.501281,-0.379087,0.75718,246.0
42502,-0.177719,-0.501238,-0.379097,0.757271,246.0
42601,-0.177868,-0.501312,-0.379221,0.757125,246.0
42702,-0.177845,-0.501363,-0.379048,0.757184,246.0
42801,-0.177571,-0.501545,-0.379188,0.757058,246.0
42902,-0.17746,-0.50154,-0.379084,0.757139,246.0
43001,-0.177598,-0.501515,-0.379022,0.757154,246.0
43102,-0.177509,-0.501644,-0.378994,0.757103,246.0
43201,-0.177564,-0.501766,-0.378963,0.757025,246.0
43301,-0.177537,-0.501771,-0.378664,0.757178,246.0
43402,-0.177771,-0.501577,-0.378667,0.75725,246.0
43501,-0.177762,-0.50165,-0.378778,0.757148,246.0
