Milliseconds,Illuminance
115002,605.0
115101,604.0
115202,604.0
115301,604.0
115402,604.0
115501,604.0
115601,604.0
115701,604.0
115802,604.0
115901,604.0
116001,604.0
116101,604.0
116205,604.0
116302,604.0
116403,604.0
116502,604.0
116602,604.0
116702,604.0
116801,602.0
116902,602.0
117001,602.0
117101,604.0
117202,604.0
117302,602.0
117402,602.0
117501,602.0
117601,602.0
117702,602.0
117801,603.0
117901,603.0
118002,605.0
118102,605.0
118201,603.0
118301,603.0
118402,603.0
118501,602.0
118602,602.0
118701,602.0
118801,602.0
118913,602.0
119001,602.0
119101,602.0
119202,602.0
119301,602.0
119402,602.0
119502,602.0
119601,602.0
119701,602.0
119801,602.0
119902,602.0
120001,603.0
120102,603.0
120201,603.0
120305,600.0
120401,600.0
120501,603.0
120601,603.0
120701,603.0
120803,603.0
120901,603.0
121002,603.0
121101,603.0
121201,603.0
121301,600.0
121402,600.0
121501,600.0
121601,601.0
121702,601.0
121801,600.0
121902,600.0
122004,601.0
122101,601.0
122202,601.0
122302,601.0
122405,601.0
122504,601.0
122602,601.0
122701,600.0
122801,600.0
122902,600.0
123001,600.0
123101,600.0
123202,600.0
123303,600.0
123408,600.0
123502,600.0
123601,600.0
123701,600.0
123801,600.0
123903,600.0
124001,600.0
124102,600.0
124201,600.0
124301,600.0
124402,600.0
124501,600.0
124601,600.0
124701,600.0
124801,600.0
124902,600.0
125001,598.0
125108,598.0
125201,601.0
125301,601.0
125401,601.0
125502,601.0
125602,599.0
125701,599.0
125804,600.0
125902,600.0
126001,600.0
126101,598.0
126202,598.0
126301,598.0
126401,598.0
126502,598.0
126601,598.0
126701,598.0
126808,598.0
126904,598.0
127001,598.0
127102,598.0
127201,598.0
127303,598.0
127402,598.0
127501,598.0
127601,598.0
127701,598.0
127805,598.0
127901,599.0
128001,599.0
128102,598.0
128206,598.0
128303,598.0
128404,598.0
128502,598.0
128606,599.0
128703,599.0
128803,598.0
128904,598.0
129002,598.0
129103,598.0
129205,599.0
129302,599.0
129402,599.0
129501,599.0
129602,599.0
129702,596.0
129804,596.0
129902,596.0
130001,596.0
130101,596.0
130201,596.0
130301,598.0
130401,596.0
130506,596.0
130602,596.0
130701,596.0
130804,596.0
130914,596.0
131002,596.0
131101,596.0
131201,597.0
131302,597.0
131402,597.0
131502,597.0
131601,597.0
131701,597.0
131801,597.0
131905,596.0
132001,596.0
132102,596.0
132201,597.0
132302,597.0
132401,597.0
132515,597.0
132603,596.0
132701,596.0
132803,596.0
132902,596.0
133001,596.0
133101,597.0
133201,597.0
133301,596.0
133401,596.0
133502,597.0
133601,597.0
133701,597.0
133815,597.0
133901,597.0
134001,597.0
134102,597.0
134203,594.0
134301,594.0
134402,594.0
134501,594.0
134603,594.0
134705,594.0
134801,594.0
134907,594.0
135001,594.0
135102,594.0
135201,594.0
135302,594.0
135414,594.0
135504,594.0
135601,594.0
135703,594.0
135801,596.0
135902,596.0
